Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-17,2016,2,17,Wednesday,07,2016-07,191.16,193.32,191.01,192.88,136009500,172.82,0.016334826203382447,169.32642857142855,170.6474193548387
2016-02-18,2016,2,18,Thursday,07,2016-07,193.2,193.27,191.72,192.09,102343000,172.11,-0.004096012923308856,169.51714285714283,170.693125
2016-02-19,2016,2,19,Friday,07,2016-07,191.17,192.18,190.45,192.0,114793000,172.03,-0.0004684604398722536,169.40714285714287,170.73363636363638
2016-02-22,2016,2,22,Monday,08,2016-08,193.87,194.95,193.79,194.78,103640300,174.52,0.01447932038207167,169.4792857142857,170.845
2016-02-23,2016,2,23,Tuesday,08,2016-08,194.0,194.32,192.18,192.32,111455300,172.32,-0.01262972722964717,169.6178571428571,170.88714285714286
2016-02-24,2016,2,24,Wednesday,08,2016-08,190.63,193.53,189.32,193.2,150812200,173.11,0.004575574550199635,169.73999999999998,170.9488888888889
2016-02-25,2016,2,25,Thursday,08,2016-08,193.73,195.55,192.83,195.54,110728300,175.2,0.012111844494511859,169.99214285714288,171.06378378378378
2016-02-26,2016,2,26,Friday,08,2016-08,196.57,196.68,194.9,195.09,129833700,174.8,-0.002301150008905184,170.4492857142857,171.16210526315788
2016-02-29,2016,2,29,Monday,09,2016-09,195.11,196.23,193.33,193.56,125918100,173.43,-0.007842758642603198,170.97000000000003,171.2202564102564
2016-03-01,2016,3,1,Tuesday,09,2016-09,195.01,198.21,194.45,198.11,141799700,177.51,0.0235071489348897,171.78214285714284,171.3775
2016-03-02,2016,3,2,Wednesday,09,2016-09,197.74,199.06,197.25,199.0,102415000,178.3,0.004492307528317863,172.66071428571428,171.54634146341462
2016-03-03,2016,3,3,Thursday,09,2016-09,198.79,199.8,198.11,199.78,95172200,179.0,0.003919640271466962,173.74357142857144,171.7238095238095
2016-03-04,2016,3,4,Friday,09,2016-09,200.01,201.35,199.03,200.43,129293600,179.58,0.0032533297508203773,174.62642857142856,171.90651162790698
2016-03-07,2016,3,7,Monday,10,2016-10,199.34,201.07,199.25,200.59,100219000,179.73,0.000798353468194124,175.31857142857143,172.0843181818182
2016-03-08,2016,3,8,Tuesday,10,2016-10,199.32,199.92,198.21,198.4,123974900,177.77,-0.010917493808060175,175.6721428571429,172.21066666666667
2016-03-09,2016,3,9,Wednesday,10,2016-10,199.36,199.79,198.43,199.38,94801200,178.64,0.004939559791540482,176.13857142857142,172.3504347826087
2016-03-10,2016,3,10,Thursday,10,2016-10,199.96,201.07,197.38,199.54,156838700,178.79,0.0008024721095032383,176.62142857142857,172.48744680851064
2016-03-11,2016,3,11,Friday,10,2016-10,201.26,202.81,199.52,202.76,137964500,181.67,0.016136940558081347,177.13214285714284,172.67875
2016-03-14,2016,3,14,Monday,11,2016-11,202.16,203.04,201.77,202.5,73612000,181.44,-0.0012822900102074097,177.7835714285714,172.85755102040818
2016-03-15,2016,3,15,Tuesday,11,2016-11,201.36,202.53,201.05,202.17,93169100,181.14,-0.0016294983607462177,178.35714285714286,173.0232
2016-03-16,2016,3,16,Wednesday,11,2016-11,201.6,203.82,201.55,203.34,129303200,182.19,0.005787354482200913,178.85642857142855,173.0648
2016-03-17,2016,3,17,Thursday,11,2016-11,203.24,205.23,202.77,204.63,134278500,183.35,0.006343998343733004,179.46714285714285,173.1234
2016-03-18,2016,3,18,Friday,11,2016-11,204.17,204.78,203.8,204.38,138372400,184.07,0.003929392605701132,180.22714285714284,173.24200000000002
2016-03-21,2016,3,21,Monday,12,2016-12,204.07,204.94,203.8,204.67,72926700,184.33,0.0014190421059585567,180.71428571428572,173.4512
2016-03-22,2016,3,22,Tuesday,12,2016-12,203.76,205.23,203.57,204.56,97471900,184.23,-0.0005374917685448954,181.13785714285714,173.6966
2016-03-23,2016,3,23,Wednesday,12,2016-12,204.11,204.33,203.01,203.21,81052500,183.01,-0.006599721112647283,181.42428571428567,173.91420000000002
